Detectado,Acuracia
person, 0.6349
cup, 0.6002
tvmonitor, 0.9984
tvmonitor, 0.9872
keyboard, 0.9862
mouse, 0.9837
bottle, 0.9761
tvmonitor, 0.9986
tvmonitor, 0.9860
bottle, 0.9717
keyboard, 0.9695
mouse, 0.9652
tvmonitor, 0.9991
tvmonitor, 0.9877
keyboard, 0.9864
mouse, 0.9829
bottle, 0.9801
cup, 0.7791
tvmonitor, 0.9985
tvmonitor, 0.9908
keyboard, 0.9690
bottle, 0.8015
mouse, 0.6439
cup, 0.6411
tvmonitor, 0.5164
tvmonitor, 0.9983
tvmonitor, 0.9889
bottle, 0.9818
keyboard, 0.9786
mouse, 0.9540
tvmonitor, 0.5854
cup, 0.5379
tvmonitor, 0.9992
mouse, 0.8934
keyboard, 0.8071
cup, 0.7864
tvmonitor, 0.5418
tvmonitor, 0.9969
keyboard, 0.9930
bottle, 0.9859
mouse, 0.9810
tvmonitor, 0.9693
bottle, 0.5613
tvmonitor, 0.9985
mouse, 0.9841
tvmonitor, 0.9814
keyboard, 0.9743
bottle, 0.9294
bottle, 0.6037
mouse, 0.9986
tvmonitor, 0.9938
tvmonitor, 0.9913
keyboard, 0.9719
bottle, 0.9426
bottle, 0.8548
tvmonitor, 0.9984
mouse, 0.9963
keyboard, 0.9703
bottle, 0.8040
laptop, 0.7555
cell phone, 0.6990
tvmonitor, 0.9960
mouse, 0.9884
keyboard, 0.9499
laptop, 0.9278
cup, 0.8602
bottle, 0.8173
tvmonitor, 0.9984
mouse, 0.9756
bottle, 0.9522
laptop, 0.9481
keyboard, 0.9245
cup, 0.5843
tvmonitor, 0.9985
mouse, 0.9923
keyboard, 0.9869
cup, 0.9209
laptop, 0.8712
bottle, 0.8062
tvmonitor, 0.9984
keyboard, 0.9962
mouse, 0.9921
laptop, 0.8443
bottle, 0.8259
cup, 0.7005
tvmonitor, 0.9979
mouse, 0.9942
keyboard, 0.9896
cup, 0.7909
bottle, 0.6535
laptop, 0.6432
person, 0.5075
tvmonitor, 0.9968
mouse, 0.9859
keyboard, 0.9750
laptop, 0.7836
cup, 0.7473
cup, 0.5450
person, 0.5398
book, 0.5158
tvmonitor, 0.9989
mouse, 0.9917
keyboard, 0.9521
laptop, 0.8493
person, 0.6369
tvmonitor, 0.9982
keyboard, 0.9754
mouse, 0.9698
cup, 0.6422
person, 0.6133
laptop, 0.5841
tvmonitor, 0.9924
keyboard, 0.9854
mouse, 0.9680
tvmonitor, 0.7958
person, 0.6541
bottle, 0.5486
tvmonitor, 0.9878
cup, 0.9725
keyboard, 0.9620
mouse, 0.8700
tvmonitor, 0.6617
person, 0.5802
book, 0.5357
tvmonitor, 0.9951
keyboard, 0.9309
mouse, 0.9143
laptop, 0.7846
cup, 0.7418
tvmonitor, 0.9974
keyboard, 0.8773
mouse, 0.8556
cup, 0.7737
laptop, 0.6607
bottle, 0.5471
tvmonitor, 0.9919
mouse, 0.8664
cup, 0.6840
laptop, 0.5765
tvmonitor, 0.9849
keyboard, 0.5247
tvmonitor, 0.9788
tvmonitor, 0.6857
keyboard, 0.5836
tvmonitor, 0.9788
mouse, 0.8513
tvmonitor, 0.6530
keyboard, 0.5851
tvmonitor, 0.9884
laptop, 0.8515
person, 0.7666
keyboard, 0.5597
tvmonitor, 0.9979
keyboard, 0.9265
mouse, 0.9027
laptop, 0.7195
cup, 0.6041
person, 0.6006
tvmonitor, 0.9957
tvmonitor, 0.9294
keyboard, 0.9254
mouse, 0.8869
person, 0.5638
tvmonitor, 0.9892
tvmonitor, 0.8590
person, 0.7310
mouse, 0.6877
tvmonitor, 0.9654
laptop, 0.8436
person, 0.8396
tvmonitor, 0.8955
person, 0.8931
laptop, 0.7480
mouse, 0.5552
tvmonitor, 0.9675
person, 0.8565
laptop, 0.8153
mouse, 0.6444
tvmonitor, 0.9877
person, 0.9128
tvmonitor, 0.8918
mouse, 0.6201
keyboard, 0.5247
tvmonitor, 0.9774
laptop, 0.8740
person, 0.7131
tvmonitor, 0.9871
laptop, 0.8812
tvmonitor, 0.9556
tvmonitor, 0.7913
tvmonitor, 0.9625
laptop, 0.9236
mouse, 0.6697
tvmonitor, 0.9707
laptop, 0.9474
mouse, 0.7360
tvmonitor, 0.9749
tvmonitor, 0.8197
tvmonitor, 0.9854
laptop, 0.8798
mouse, 0.5558
tvmonitor, 0.9671
laptop, 0.9533
tvmonitor, 0.9701
laptop, 0.9262
person, 0.6624
tvmonitor, 0.9614
laptop, 0.8164
person, 0.5793
tvmonitor, 0.9733
person, 0.8384
laptop, 0.7453
keyboard, 0.6634
tvmonitor, 0.9076
laptop, 0.8921
tvmonitor, 0.9298
laptop, 0.8166
laptop, 0.9552
tvmonitor, 0.9329
keyboard, 0.5203
tvmonitor, 0.9944
keyboard, 0.9844
laptop, 0.7572
tvmonitor, 0.9945
keyboard, 0.9893
tvmonitor, 0.9467
tvmonitor, 0.9965
keyboard, 0.9602
laptop, 0.8589
mouse, 0.7673
cup, 0.7054
person, 0.6409
tvmonitor, 0.9965
laptop, 0.9582
keyboard, 0.9363
person, 0.6237
tvmonitor, 0.9973
laptop, 0.9077
keyboard, 0.8956
person, 0.8541
tvmonitor, 0.9975
keyboard, 0.9209
laptop, 0.8348
person, 0.6498
tvmonitor, 0.9972
keyboard, 0.9940
person, 0.9512
laptop, 0.8464
tvmonitor, 0.9967
keyboard, 0.9930
person, 0.9245
tvmonitor, 0.8811
tvmonitor, 0.9966
keyboard, 0.9954
person, 0.8416
laptop, 0.8032
tvmonitor, 0.9965
keyboard, 0.9816
laptop, 0.8905
person, 0.8449
tvmonitor, 0.9969
keyboard, 0.9641
laptop, 0.8711
person, 0.8499
tvmonitor, 0.9967
keyboard, 0.9627
laptop, 0.8964
person, 0.8897
tvmonitor, 0.9975
keyboard, 0.9629
person, 0.8747
tvmonitor, 0.7183
tvmonitor, 0.9975
keyboard, 0.9648
person, 0.8317
tvmonitor, 0.7780
tvmonitor, 0.9978
keyboard, 0.9258
person, 0.8081
tvmonitor, 0.7716
tvmonitor, 0.9976
keyboard, 0.9162
laptop, 0.8369
person, 0.7685
cup, 0.6193
tvmonitor, 0.9985
keyboard, 0.9013
laptop, 0.8387
person, 0.7165
cup, 0.5892
tvmonitor, 0.9981
keyboard, 0.8675
tvmonitor, 0.8476
person, 0.7134
cup, 0.5029
tvmonitor, 0.9981
laptop, 0.9211
person, 0.8683
keyboard, 0.8580
tvmonitor, 0.9961
laptop, 0.9475
keyboard, 0.9230
person, 0.8786
cup, 0.6113
tvmonitor, 0.9967
laptop, 0.9549
keyboard, 0.9431
person, 0.8412
tvmonitor, 0.9974
laptop, 0.9740
keyboard, 0.9626
person, 0.7865
tvmonitor, 0.9976
laptop, 0.9645
keyboard, 0.9615
person, 0.8267
tvmonitor, 0.9974
person, 0.8746
tvmonitor, 0.8657
keyboard, 0.8312
